County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Halifax County, North Carolina",37083,41449,"2,897"
"Fairfield County, South Carolina",45039,41456,"2,896"
"Wilcox County, Georgia",13315,41466,"2,895"
"Winston County, Alabama",1133,41493,"2,894"
"Bladen County, North Carolina",37017,41501,"2,893"
"Letcher County, Kentucky",21133,41524,"2,892"
"La Paz County, Arizona",4012,41530,"2,891"
"Benton County, Missouri",29015,41531,"2,890"
"Elbert County, Georgia",13105,41535,"2,889"
"Cook County, Georgia",13075,41553,"2,888"
"Perry County, Mississippi",28111,41566,"2,887"
"Pushmataha County, Oklahoma",40127,41591,"2,886"
"Crowley County, Colorado",8025,41607,"2,884"
"Rockcastle County, Kentucky",21203,41607,"2,884"
"Claiborne Parish, Louisiana",22027,41612,"2,883"
"Marion County, Alabama",1093,41635,"2,882"
"Red River County, Texas",48387,41652,"2,881"
"Hidalgo County, New Mexico",35023,41658,"2,880"
"Hardeman County, Tennessee",47069,41674,"2,879"
"Okeechobee County, Florida",12093,41717,"2,878"
"Decatur County, Georgia",13087,41730,"2,877"
"Montmorency County, Michigan",26119,41772,"2,876"
"Wayne County, Tennessee",47181,41789,"2,875"
"Hempstead County, Arkansas",5057,41791,"2,874"
"Bradley County, Arkansas",5011,41816,"2,873"
"Pickens County, Alabama",1107,41840,"2,872"
"Prentiss County, Mississippi",28117,41851,"2,871"
"Taylor County, Kentucky",21217,41854,"2,870"
"Bent County, Colorado",8011,41875,"2,869"
"Meigs County, Tennessee",47121,41886,"2,868"
"St. Helena Parish, Louisiana",22091,41908,"2,867"
"Montgomery County, Arkansas",5097,41909,"2,866"
"Webb County, Texas",48479,41922,"2,865"
"Hampshire County, West Virginia",54027,41950,"2,864"
"Laurens County, Georgia",13175,41960,"2,863"
"Coffee County, Georgia",13069,41968,"2,862"
"New Madrid County, Missouri",29143,42003,"2,861"
"Mississippi County, Arkansas",5093,42005,"2,860"
"Franklin City, Virginia",51620,42016,"2,859"
"Berrien County, Georgia",13019,42017,"2,858"
"Washington Parish, Louisiana",22117,42029,"2,857"
"Concordia Parish, Louisiana",22029,42057,"2,856"
"Bullock County, Alabama",1011,42074,"2,855"
"Owsley County, Kentucky",21189,42083,"2,854"
"Otero County, Colorado",8089,42088,"2,853"
"Dewey County, South Dakota",46041,42135,"2,852"
"Roscommon County, Michigan",26143,42155,"2,851"
"Bienville Parish, Louisiana",22013,42172,"2,850"
"Izard County, Arkansas",5065,42196,"2,849"
"Dallas County, Missouri",29059,42212,"2,848"
"Barbour County, Alabama",1005,42216,"2,847"
"Copiah County, Mississippi",28029,42221,"2,846"
"Oscoda County, Michigan",26135,42248,"2,845"
"Emporia City, Virginia",51595,42279,"2,844"
"Metcalfe County, Kentucky",21169,42285,"2,843"
"Avoyelles Parish, Louisiana",22009,42288,"2,842"
"Unicoi County, Tennessee",47171,42295,"2,841"
"Montgomery County, Georgia",13209,42298,"2,840"
"Mitchell County, Georgia",13205,42311,"2,839"
"Highlands County, Florida",12055,42321,"2,838"
"Evans County, Georgia",13109,42395,"2,837"
"Hart County, Kentucky",21099,42412,"2,836"
"Castro County, Texas",48069,42432,"2,835"
"Duplin County, North Carolina",37061,42449,"2,834"
"Lincoln County, Arkansas",5079,42453,"2,832"
"Pike County, Kentucky",21195,42453,"2,832"
"Franklin County, Georgia",13119,42457,"2,831"
"Hale County, Alabama",1065,42458,"2,830"
"Logan County, Arkansas",5083,42473,"2,829"
"Polk County, Arkansas",5113,42521,"2,828"
"Holmes County, Florida",12059,42534,"2,827"
"Coosa County, Alabama",1037,42539,"2,826"
"Johnson County, Tennessee",47091,42550,"2,825"
"Chester County, South Carolina",45023,42560,"2,824"
"Walthall County, Mississippi",28147,42572,"2,823"
"Jefferson County, Oklahoma",40067,42601,"2,822"
"Atoka County, Oklahoma",40005,42605,"2,820"
"Carter County, Tennessee",47019,42605,"2,820"
"Galax City, Virginia",51640,42616,"2,819"
"Macon County, Tennessee",47111,42629,"2,818"
"Coleman County, Texas",48083,42649,"2,817"
"Danville City, Virginia",51590,42656,"2,816"
"Tishomingo County, Mississippi",28141,42664,"2,815"
"Ouachita County, Arkansas",5103,42668,"2,814"
"Amite County, Mississippi",28005,42672,"2,813"
"Navajo County, Arizona",4017,42673,"2,812"
"Perry County, Kentucky",21193,42725,"2,811"
"Newton County, Arkansas",5101,42730,"2,810"
"Nevada County, Arkansas",5099,42735,"2,809"
"Union County, Tennessee",47173,42738,"2,808"
"Roane County, West Virginia",54087,42745,"2,807"
"St. Clair County, Missouri",29185,42767,"2,806"
"Adams County, Ohio",39001,42778,"2,805"
"Johnson County, Arkansas",5071,42825,"2,804"
"Union County, Mississippi",28145,42850,"2,803"
"Prairie County, Arkansas",5117,42857,"2,802"
"Butler County, Kentucky",21031,42870,"2,801"
"Howard County, Arkansas",5061,42875,"2,800"
"Rutherford County, North Carolina",37161,42886,"2,799"
"Camp County, Texas",48063,42900,"2,798"
"Esmeralda County, Nevada",32009,42917,"2,797"
"Vance County, North Carolina",37181,42931,"2,796"
"Echols County, Georgia",13101,42955,"2,795"
"Howell County, Missouri",29091,42959,"2,794"
"Alleghany County, North Carolina",37005,42962,"2,793"
"Ware County, Georgia",13299,43029,"2,792"
"Comanche County, Texas",48093,43034,"2,791"
"Cochran County, Texas",48079,43036,"2,790"
"Jim Hogg County, Texas",48247,43056,"2,789"
"La Salle County, Texas",48283,43189,"2,788"
"Clay County, Alabama",1027,43192,"2,787"
"White County, Tennessee",47185,43223,"2,786"
"Marion County, Arkansas",5089,43233,"2,785"
"Laurel County, Kentucky",21125,43236,"2,784"
"Lee County, Virginia",51105,43240,"2,783"
"Seminole County, Georgia",13253,43250,"2,782"
"Franklin Parish, Louisiana",22041,43273,"2,781"
"San Miguel County, New Mexico",35047,43319,"2,780"
"Madison County, Missouri",29123,43320,"2,779"
"Talbot County, Georgia",13263,43345,"2,778"
"Lincoln County, Kentucky",21137,43356,"2,777"
"Wilkes County, North Carolina",37193,43360,"2,776"
"Benton County, Tennessee",47005,43362,"2,775"
"Lincoln County, Georgia",13181,43382,"2,774"
"Lake County, Oregon",41037,43401,"2,773"
"Charlotte County, Virginia",51037,43403,"2,772"
"Fulton County, Arkansas",5049,43407,"2,771"
"Union County, South Carolina",45087,43422,"2,770"
"Blaine County, Montana",30005,43444,"2,769"
"Sequoyah County, Oklahoma",40135,43495,"2,768"
"Cottle County, Texas",48101,43500,"2,767"
"Fayette County, Alabama",1057,43502,"2,766"
"Casey County, Kentucky",21045,43506,"2,765"
"Lawrence County, Mississippi",28077,43517,"2,764"
"Calhoun County, Florida",12013,43620,"2,762"
"Washington County, Idaho",16087,43620,"2,762"
"Monroe County, West Virginia",54063,43629,"2,761"
"McDuffie County, Georgia",13189,43630,"2,760"
"Menard County, Texas",48327,43667,"2,759"
"Clay County, Arkansas",5021,43673,"2,758"
"Taylor County, Florida",12123,43678,"2,757"
"Dent County, Missouri",29065,43691,"2,756"
"Terry County, Texas",48445,43707,"2,755"
"Fayette County, West Virginia",54019,43721,"2,754"
"Cherokee County, North Carolina",37039,43727,"2,753"
"Choctaw County, Oklahoma",40023,43750,"2,751"
"Pike County, Arkansas",5109,43750,"2,751"
"Johnson County, Kentucky",21115,43770,"2,750"
"Orangeburg County, South Carolina",45075,43795,"2,749"
"Overton County, Tennessee",47133,43803,"2,748"
"Hendry County, Florida",12051,43810,"2,747"
"Crawford County, Indiana",18025,43837,"2,746"
"Eastland County, Texas",48133,43838,"2,745"
"Lenoir County, North Carolina",37107,43844,"2,744"
"Henry County, Virginia",51089,43847,"2,743"
"Huerfano County, Colorado",8055,43909,"2,742"
"Tattnall County, Georgia",13267,43910,"2,741"
"Ashley County, Arkansas",5003,43916,"2,740"
"Bledsoe County, Tennessee",47007,43918,"2,739"
"Real County, Texas",48385,43929,"2,738"
"Sampson County, North Carolina",37163,43946,"2,737"
"Dodge County, Georgia",13091,43966,"2,736"
"Lincoln County, West Virginia",54043,43990,"2,735"
"Washington County, North Carolina",37187,43991,"2,734"
"McDonald County, Missouri",29119,43993,"2,733"
"Hooker County, Nebraska",31091,44000,"2,732"
"Alcorn County, Mississippi",28003,44008,"2,731"
"Putnam County, Missouri",29171,44018,"2,730"
"Brooks County, Georgia",13027,44031,"2,728"
"Monroe County, Tennessee",47123,44031,"2,728"
"Kenedy County, Texas",48261,44063,"2,726"
"Marshall County, Mississippi",28093,44063,"2,726"
"Greene County, Tennessee",47059,44064,"2,725"
"Yell County, Arkansas",5149,44079,"2,724"
"Yuma County, Arizona",4027,44088,"2,723"
"Patrick County, Virginia",51141,44106,"2,722"
"Lewis County, Tennessee",47101,44126,"2,721"
"Grainger County, Tennessee",47057,44163,"2,720"
"Barnwell County, South Carolina",45011,44224,"2,719"
"Dickenson County, Virginia",51051,44227,"2,718"
"Webster Parish, Louisiana",22119,44235,"2,717"
"Santa Cruz County, Arizona",4023,44257,"2,716"
"Gadsden County, Florida",12039,44278,"2,715"
"Trinity County, Texas",48455,44286,"2,714"
"Bailey County, Texas",48017,44309,"2,713"
"Tippah County, Mississippi",28139,44315,"2,712"
"Grayson County, Kentucky",21085,44327,"2,711"
"Dixie County, Florida",12029,44338,"2,710"
"Wilkes County, Georgia",13317,44342,"2,709"
"Natchitoches Parish, Louisiana",22069,44368,"2,708"
"Mingo County, West Virginia",54059,44384,"2,707"
"Brantley County, Georgia",13025,44396,"2,706"
"Talladega County, Alabama",1121,44397,"2,705"
"Saguache County, Colorado",8109,44405,"2,704"
"Crockett County, Tennessee",47033,44419,"2,703"
"Iron County, Missouri",29093,44437,"2,702"
"Screven County, Georgia",13251,44438,"2,701"
"Butler County, Missouri",29023,44440,"2,700"
"Haywood County, Tennessee",47075,44456,"2,699"
"McDowell County, North Carolina",37111,44487,"2,698"
"Golden Valley County, Montana",30037,44500,"2,697"
"Ogemaw County, Michigan",26129,44501,"2,696"
"Newton County, Mississippi",28101,44509,"2,695"
"Johnson County, Georgia",13167,44520,"2,694"
"Lawrence County, Kentucky",21127,44529,"2,693"
"Wayne County, Mississippi",28153,44561,"2,692"
"Claiborne County, Tennessee",47025,44563,"2,691"
"Levy County, Florida",12075,44586,"2,690"
"Pulaski County, Illinois",17153,44611,"2,689"
"Madison County, Arkansas",5087,44643,"2,688"
"Ferry County, Washington",53019,44688,"2,686"
"Keweenaw County, Michigan",26083,44688,"2,686"
"Cumberland County, Tennessee",47035,44717,"2,685"
"Pickett County, Tennessee",47137,44755,"2,684"
"Union County, Florida",12125,44767,"2,683"
"Columbus County, North Carolina",37047,44783,"2,682"
"Chattahoochee County, Georgia",13053,44787,"2,681"
"Houston County, Texas",48225,44799,"2,680"
"Hyde County, North Carolina",37095,44801,"2,679"
"Panola County, Mississippi",28107,44803,"2,678"
"Tulare County, California",6107,44814,"2,677"
"Van Buren County, Arkansas",5141,44829,"2,676"
"Franklin County, Alabama",1059,44847,"2,675"
"Worth County, Georgia",13321,44852,"2,674"
"Thomas County, Georgia",13275,44878,"2,673"
"Russell County, Alabama",1113,44886,"2,672"
"Ottawa County, Oklahoma",40115,44906,"2,671"
"Abbeville County, South Carolina",45001,44918,"2,670"
"Wirt County, West Virginia",54105,44929,"2,669"
"Laurens County, South Carolina",45059,44933,"2,668"
"Greensville County, Virginia",51081,44934,"2,667"
"Rio Arriba County, New Mexico",35039,44963,"2,666"
"Dimmit County, Texas",48127,44968,"2,665"
"Baca County, Colorado",8009,44972,"2,664"
"DeKalb County, Tennessee",47041,44993,"2,663"
"Crawford County, Missouri",29055,45000,"2,660"
"Miller County, Georgia",13201,45000,"2,660"
"Piute County, Utah",49031,45000,"2,660"
"Barbour County, West Virginia",54001,45005,"2,659"
"Pulaski County, Kentucky",21199,45029,"2,658"
"Independence County, Arkansas",5063,45030,"2,657"
"Dona Ana County, New Mexico",35013,45044,"2,656"
"Bibb County, Alabama",1007,45081,"2,655"
"Marion County, Georgia",13197,45086,"2,654"
"Ohio County, Kentucky",21183,45113,"2,653"
"Choctaw County, Mississippi",28019,45139,"2,652"
"Neshoba County, Mississippi",28099,45141,"2,651"
"Jones County, Mississippi",28067,45157,"2,650"
"Meriwether County, Georgia",13199,45169,"2,649"
"Tillman County, Oklahoma",40141,45199,"2,648"
"Van Buren County, Tennessee",47175,45212,"2,647"
"Jackson County, Florida",12063,45222,"2,646"
"Robertson County, Kentucky",21201,45231,"2,645"
"Treasure County, Montana",30103,45268,"2,644"
"Jones County, North Carolina",37103,45308,"2,643"
"Hardin County, Tennessee",47071,45317,"2,642"
"Washington County, Florida",12133,45335,"2,641"
"Yancey County, North Carolina",37199,45347,"2,640"
"Bristol City, Virginia",51520,45363,"2,639"
"Jackson Parish, Louisiana",22049,45398,"2,638"
"Reynolds County, Missouri",29179,45409,"2,637"
"Yalobusha County, Mississippi",28161,45423,"2,636"
"Suwannee County, Florida",12121,45425,"2,635"
"Carroll County, Virginia",51035,45434,"2,634"
"Clay County, North Carolina",37043,45435,"2,633"
"Carter County, Kentucky",21043,45438,"2,631"
"Geneva County, Alabama",1061,45438,"2,631"
"Taos County, New Mexico",35055,45439,"2,630"
"Seminole County, Oklahoma",40133,45441,"2,629"
"Cherokee County, Alabama",1019,45444,"2,628"
"Fleming County, Kentucky",21069,45469,"2,627"
"Jackson County, Alabama",1071,45473,"2,626"
"Mason County, West Virginia",54053,45474,"2,625"
"Calhoun County, West Virginia",54013,45500,"2,624"
"Ashe County, North Carolina",37009,45510,"2,623"
"Marengo County, Alabama",1091,45524,"2,622"
"Wilkinson County, Georgia",13319,45526,"2,621"
"St. Landry Parish, Louisiana",22097,45530,"2,620"
"Carroll County, Arkansas",5015,45548,"2,619"
"Schuyler County, Missouri",29197,45551,"2,618"
"San Saba County, Texas",48411,45563,"2,617"
"Ontonagon County, Michigan",26131,45585,"2,616"
"Hickman County, Tennessee",47081,45587,"2,615"
"Murray County, Georgia",13213,45595,"2,614"
"Drew County, Arkansas",5043,45597,"2,613"
"Morgan County, Tennessee",47129,45613,"2,612"
"Saluda County, South Carolina",45081,45625,"2,611"
"Richland Parish, Louisiana",22083,45641,"2,610"
"Morgan County, Missouri",29141,45670,"2,609"
"Adair County, Kentucky",21001,45673,"2,608"
"Okfuskee County, Oklahoma",40107,45675,"2,607"
"Le Flore County, Oklahoma",40079,45696,"2,606"
"Clayton County, Georgia",13063,45702,"2,604"
"Franklin County, Arkansas",5047,45702,"2,604"
"Polk County, Tennessee",47139,45708,"2,603"
"Forest County, Pennsylvania",42053,45717,"2,602"
"Cherokee County, South Carolina",45021,45724,"2,601"
"Lincoln County, Montana",30053,45735,"2,600"
"Siskiyou County, California",6093,45742,"2,599"
"Covington County, Alabama",1039,45758,"2,598"
"Lewis County, West Virginia",54041,45766,"2,597"
"Chambers County, Alabama",1017,45779,"2,596"
"Dade County, Missouri",29057,45781,"2,595"
"DeKalb County, Alabama",1049,45803,"2,594"
"Imperial County, California",6025,45815,"2,593"
"Benson County, North Dakota",38005,45833,"2,591"
"Custer County, Colorado",8027,45833,"2,591"
"Adams County, Idaho",16003,45841,"2,590"
"Randolph County, Arkansas",5121,45871,"2,589"
"Chautauqua County, Kansas",20019,45893,"2,588"
"Fannin County, Georgia",13111,45909,"2,587"
"Collingsworth County, Texas",48087,45927,"2,585"
"Essex County, Vermont",50009,45927,"2,585"
"Brown County, Nebraska",31017,45963,"2,584"
"Torrance County, New Mexico",35057,45974,"2,583"
"Richmond County, Georgia",13245,45999,"2,582"
"Pulaski County, Georgia",13235,46038,"2,581"
"Iosco County, Michigan",26069,46042,"2,580"
"Laclede County, Missouri",29105,46043,"2,579"
"Haskell County, Oklahoma",40061,46044,"2,578"
"Appling County, Georgia",13001,46048,"2,577"
"Itawamba County, Mississippi",28057,46052,"2,576"
"Irwin County, Georgia",13155,46055,"2,575"
"Surry County, North Carolina",37171,46068,"2,574"
