Demographic Data Report for United States by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2011-2015 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Jeff Davis County, Georgia",13161,40884.000000000,"2,926"
"Cocke County, Tennessee",47029,40922.000000000,"2,925"
"Benton County, Mississippi",28009,40924.000000000,"2,924"
"Oregon County, Missouri",29149,40933.000000000,"2,923"
"McCurtain County, Oklahoma",40089,40936.000000000,"2,922"
"Bertie County, North Carolina",37015,40939.000000000,"2,921"
"Attala County, Mississippi",28007,40941.000000000,"2,920"
"Crisp County, Georgia",13081,40942.000000000,"2,919"
"Jasper County, Mississippi",28061,40951.000000000,"2,918"
"San Augustine County, Texas",48405,40975.000000000,"2,917"
"Scott County, Arkansas",05127,41004.000000000,"2,916"
"Lawrence County, Arkansas",05075,41045.000000000,"2,915"
"Hamilton County, Florida",12047,41062.000000000,"2,914"
"Washington County, Missouri",29221,41080.000000000,"2,913"
"Poinsett County, Arkansas",05111,41095.000000000,"2,912"
"Lincoln County, Mississippi",28085,41104.000000000,"2,911"
"Cibola County, New Mexico",35006,41159.000000000,"2,910"
"Edgecombe County, North Carolina",37065,41198.000000000,"2,909"
"Hertford County, North Carolina",37091,41278.000000000,"2,908"
"Tallahatchie County, Mississippi",28135,41289.000000000,"2,907"
"Socorro County, New Mexico",35053,41329.000000000,"2,906"
"Rolette County, North Dakota",38079,41361.000000000,"2,905"
"Sierra County, New Mexico",35051,41387.000000000,"2,904"
"Clarendon County, South Carolina",45027,41390.000000000,"2,903"
"Owyhee County, Idaho",16073,41392.000000000,"2,902"
"Colleton County, South Carolina",45029,41435.000000000,"2,901"
"Madison County, Florida",12079,41436.000000000,"2,900"
"Duval County, Texas",48131,41439.000000000,"2,899"
"Hardee County, Florida",12049,41440.000000000,"2,898"
"Halifax County, North Carolina",37083,41449.000000000,"2,897"
"Fairfield County, South Carolina",45039,41456.000000000,"2,896"
"Wilcox County, Georgia",13315,41466.000000000,"2,895"
"Winston County, Alabama",01133,41493.000000000,"2,894"
"Bladen County, North Carolina",37017,41501.000000000,"2,893"
"Letcher County, Kentucky",21133,41524.000000000,"2,892"
"La Paz County, Arizona",04012,41530.000000000,"2,891"
"Benton County, Missouri",29015,41531.000000000,"2,890"
"Elbert County, Georgia",13105,41535.000000000,"2,889"
"Cook County, Georgia",13075,41553.000000000,"2,888"
"Perry County, Mississippi",28111,41566.000000000,"2,887"
"Pushmataha County, Oklahoma",40127,41591.000000000,"2,886"
"Crowley County, Colorado",08025,41607.000000000,"2,884"
"Rockcastle County, Kentucky",21203,41607.000000000,"2,884"
"Claiborne Parish, Louisiana",22027,41612.000000000,"2,883"
"Marion County, Alabama",01093,41635.000000000,"2,882"
"Red River County, Texas",48387,41652.000000000,"2,881"
"Hidalgo County, New Mexico",35023,41658.000000000,"2,880"
"Hardeman County, Tennessee",47069,41674.000000000,"2,879"
"Okeechobee County, Florida",12093,41717.000000000,"2,878"
"Decatur County, Georgia",13087,41730.000000000,"2,877"
"Montmorency County, Michigan",26119,41772.000000000,"2,876"
"Wayne County, Tennessee",47181,41789.000000000,"2,875"
"Hempstead County, Arkansas",05057,41791.000000000,"2,874"
"Bradley County, Arkansas",05011,41816.000000000,"2,873"
"Pickens County, Alabama",01107,41840.000000000,"2,872"
"Prentiss County, Mississippi",28117,41851.000000000,"2,871"
"Taylor County, Kentucky",21217,41854.000000000,"2,870"
"Bent County, Colorado",08011,41875.000000000,"2,869"
"Meigs County, Tennessee",47121,41886.000000000,"2,868"
"St. Helena Parish, Louisiana",22091,41908.000000000,"2,867"
"Montgomery County, Arkansas",05097,41909.000000000,"2,866"
"Webb County, Texas",48479,41922.000000000,"2,865"
"Hampshire County, West Virginia",54027,41950.000000000,"2,864"
"Laurens County, Georgia",13175,41960.000000000,"2,863"
"Coffee County, Georgia",13069,41968.000000000,"2,862"
"New Madrid County, Missouri",29143,42003.000000000,"2,861"
"Mississippi County, Arkansas",05093,42005.000000000,"2,860"
"Franklin City, Virginia",51620,42016.000000000,"2,859"
"Berrien County, Georgia",13019,42017.000000000,"2,858"
"Washington Parish, Louisiana",22117,42029.000000000,"2,857"
"Concordia Parish, Louisiana",22029,42057.000000000,"2,856"
"Bullock County, Alabama",01011,42074.000000000,"2,855"
"Owsley County, Kentucky",21189,42083.000000000,"2,854"
"Otero County, Colorado",08089,42088.000000000,"2,853"
"Dewey County, South Dakota",46041,42135.000000000,"2,852"
"Roscommon County, Michigan",26143,42155.000000000,"2,851"
"Bienville Parish, Louisiana",22013,42172.000000000,"2,850"
"Izard County, Arkansas",05065,42196.000000000,"2,849"
"Dallas County, Missouri",29059,42212.000000000,"2,848"
"Barbour County, Alabama",01005,42216.000000000,"2,847"
"Copiah County, Mississippi",28029,42221.000000000,"2,846"
"Oscoda County, Michigan",26135,42248.000000000,"2,845"
"Emporia City, Virginia",51595,42279.000000000,"2,844"
"Metcalfe County, Kentucky",21169,42285.000000000,"2,843"
"Avoyelles Parish, Louisiana",22009,42288.000000000,"2,842"
"Unicoi County, Tennessee",47171,42295.000000000,"2,841"
"Montgomery County, Georgia",13209,42298.000000000,"2,840"
"Mitchell County, Georgia",13205,42311.000000000,"2,839"
"Highlands County, Florida",12055,42321.000000000,"2,838"
"Evans County, Georgia",13109,42395.000000000,"2,837"
"Hart County, Kentucky",21099,42412.000000000,"2,836"
"Castro County, Texas",48069,42432.000000000,"2,835"
"Duplin County, North Carolina",37061,42449.000000000,"2,834"
"Lincoln County, Arkansas",05079,42453.000000000,"2,832"
"Pike County, Kentucky",21195,42453.000000000,"2,832"
"Franklin County, Georgia",13119,42457.000000000,"2,831"
"Hale County, Alabama",01065,42458.000000000,"2,830"
"Logan County, Arkansas",05083,42473.000000000,"2,829"
"Polk County, Arkansas",05113,42521.000000000,"2,828"
"Holmes County, Florida",12059,42534.000000000,"2,827"
"Coosa County, Alabama",01037,42539.000000000,"2,826"
"Johnson County, Tennessee",47091,42550.000000000,"2,825"
"Chester County, South Carolina",45023,42560.000000000,"2,824"
"Walthall County, Mississippi",28147,42572.000000000,"2,823"
"Jefferson County, Oklahoma",40067,42601.000000000,"2,822"
"Atoka County, Oklahoma",40005,42605.000000000,"2,820"
"Carter County, Tennessee",47019,42605.000000000,"2,820"
"Galax City, Virginia",51640,42616.000000000,"2,819"
"Macon County, Tennessee",47111,42629.000000000,"2,818"
"Coleman County, Texas",48083,42649.000000000,"2,817"
"Danville City, Virginia",51590,42656.000000000,"2,816"
"Tishomingo County, Mississippi",28141,42664.000000000,"2,815"
"Ouachita County, Arkansas",05103,42668.000000000,"2,814"
"Amite County, Mississippi",28005,42672.000000000,"2,813"
"Navajo County, Arizona",04017,42673.000000000,"2,812"
"Perry County, Kentucky",21193,42725.000000000,"2,811"
"Newton County, Arkansas",05101,42730.000000000,"2,810"
"Nevada County, Arkansas",05099,42735.000000000,"2,809"
"Union County, Tennessee",47173,42738.000000000,"2,808"
"Roane County, West Virginia",54087,42745.000000000,"2,807"
"St. Clair County, Missouri",29185,42767.000000000,"2,806"
"Adams County, Ohio",39001,42778.000000000,"2,805"
"Johnson County, Arkansas",05071,42825.000000000,"2,804"
"Union County, Mississippi",28145,42850.000000000,"2,803"
"Prairie County, Arkansas",05117,42857.000000000,"2,802"
"Butler County, Kentucky",21031,42870.000000000,"2,801"
"Howard County, Arkansas",05061,42875.000000000,"2,800"
"Rutherford County, North Carolina",37161,42886.000000000,"2,799"
"Camp County, Texas",48063,42900.000000000,"2,798"
"Esmeralda County, Nevada",32009,42917.000000000,"2,797"
"Vance County, North Carolina",37181,42931.000000000,"2,796"
"Echols County, Georgia",13101,42955.000000000,"2,795"
"Howell County, Missouri",29091,42959.000000000,"2,794"
"Alleghany County, North Carolina",37005,42962.000000000,"2,793"
"Ware County, Georgia",13299,43029.000000000,"2,792"
"Comanche County, Texas",48093,43034.000000000,"2,791"
"Cochran County, Texas",48079,43036.000000000,"2,790"
"Jim Hogg County, Texas",48247,43056.000000000,"2,789"
"La Salle County, Texas",48283,43189.000000000,"2,788"
"Clay County, Alabama",01027,43192.000000000,"2,787"
"White County, Tennessee",47185,43223.000000000,"2,786"
"Marion County, Arkansas",05089,43233.000000000,"2,785"
"Laurel County, Kentucky",21125,43236.000000000,"2,784"
"Lee County, Virginia",51105,43240.000000000,"2,783"
"Seminole County, Georgia",13253,43250.000000000,"2,782"
"Franklin Parish, Louisiana",22041,43273.000000000,"2,781"
"San Miguel County, New Mexico",35047,43319.000000000,"2,780"
"Madison County, Missouri",29123,43320.000000000,"2,779"
"Talbot County, Georgia",13263,43345.000000000,"2,778"
"Lincoln County, Kentucky",21137,43356.000000000,"2,777"
"Wilkes County, North Carolina",37193,43360.000000000,"2,776"
"Benton County, Tennessee",47005,43362.000000000,"2,775"
"Lincoln County, Georgia",13181,43382.000000000,"2,774"
"Lake County, Oregon",41037,43401.000000000,"2,773"
"Charlotte County, Virginia",51037,43403.000000000,"2,772"
"Fulton County, Arkansas",05049,43407.000000000,"2,771"
"Union County, South Carolina",45087,43422.000000000,"2,770"
"Blaine County, Montana",30005,43444.000000000,"2,769"
"Sequoyah County, Oklahoma",40135,43495.000000000,"2,768"
"Cottle County, Texas",48101,43500.000000000,"2,767"
"Fayette County, Alabama",01057,43502.000000000,"2,766"
"Casey County, Kentucky",21045,43506.000000000,"2,765"
"Lawrence County, Mississippi",28077,43517.000000000,"2,764"
"Calhoun County, Florida",12013,43620.000000000,"2,762"
"Washington County, Idaho",16087,43620.000000000,"2,762"
"Monroe County, West Virginia",54063,43629.000000000,"2,761"
"McDuffie County, Georgia",13189,43630.000000000,"2,760"
"Menard County, Texas",48327,43667.000000000,"2,759"
"Clay County, Arkansas",05021,43673.000000000,"2,758"
"Taylor County, Florida",12123,43678.000000000,"2,757"
"Dent County, Missouri",29065,43691.000000000,"2,756"
"Terry County, Texas",48445,43707.000000000,"2,755"
"Fayette County, West Virginia",54019,43721.000000000,"2,754"
"Cherokee County, North Carolina",37039,43727.000000000,"2,753"
"Choctaw County, Oklahoma",40023,43750.000000000,"2,751"
"Pike County, Arkansas",05109,43750.000000000,"2,751"
"Johnson County, Kentucky",21115,43770.000000000,"2,750"
"Orangeburg County, South Carolina",45075,43795.000000000,"2,749"
"Overton County, Tennessee",47133,43803.000000000,"2,748"
"Hendry County, Florida",12051,43810.000000000,"2,747"
"Crawford County, Indiana",18025,43837.000000000,"2,746"
"Eastland County, Texas",48133,43838.000000000,"2,745"
"Lenoir County, North Carolina",37107,43844.000000000,"2,744"
"Henry County, Virginia",51089,43847.000000000,"2,743"
"Huerfano County, Colorado",08055,43909.000000000,"2,742"
"Tattnall County, Georgia",13267,43910.000000000,"2,741"
"Ashley County, Arkansas",05003,43916.000000000,"2,740"
"Bledsoe County, Tennessee",47007,43918.000000000,"2,739"
"Real County, Texas",48385,43929.000000000,"2,738"
"Sampson County, North Carolina",37163,43946.000000000,"2,737"
"Dodge County, Georgia",13091,43966.000000000,"2,736"
"Lincoln County, West Virginia",54043,43990.000000000,"2,735"
"Washington County, North Carolina",37187,43991.000000000,"2,734"
"McDonald County, Missouri",29119,43993.000000000,"2,733"
"Hooker County, Nebraska",31091,44000.000000000,"2,732"
"Alcorn County, Mississippi",28003,44008.000000000,"2,731"
"Putnam County, Missouri",29171,44018.000000000,"2,730"
"Brooks County, Georgia",13027,44031.000000000,"2,728"
"Monroe County, Tennessee",47123,44031.000000000,"2,728"
"Kenedy County, Texas",48261,44063.000000000,"2,726"
"Marshall County, Mississippi",28093,44063.000000000,"2,726"
"Greene County, Tennessee",47059,44064.000000000,"2,725"
"Yell County, Arkansas",05149,44079.000000000,"2,724"
"Yuma County, Arizona",04027,44088.000000000,"2,723"
"Patrick County, Virginia",51141,44106.000000000,"2,722"
"Lewis County, Tennessee",47101,44126.000000000,"2,721"
"Grainger County, Tennessee",47057,44163.000000000,"2,720"
"Barnwell County, South Carolina",45011,44224.000000000,"2,719"
"Dickenson County, Virginia",51051,44227.000000000,"2,718"
"Webster Parish, Louisiana",22119,44235.000000000,"2,717"
"Santa Cruz County, Arizona",04023,44257.000000000,"2,716"
"Gadsden County, Florida",12039,44278.000000000,"2,715"
"Trinity County, Texas",48455,44286.000000000,"2,714"
"Bailey County, Texas",48017,44309.000000000,"2,713"
"Tippah County, Mississippi",28139,44315.000000000,"2,712"
"Grayson County, Kentucky",21085,44327.000000000,"2,711"
"Dixie County, Florida",12029,44338.000000000,"2,710"
"Wilkes County, Georgia",13317,44342.000000000,"2,709"
"Natchitoches Parish, Louisiana",22069,44368.000000000,"2,708"
"Mingo County, West Virginia",54059,44384.000000000,"2,707"
"Brantley County, Georgia",13025,44396.000000000,"2,706"
"Talladega County, Alabama",01121,44397.000000000,"2,705"
"Saguache County, Colorado",08109,44405.000000000,"2,704"
"Crockett County, Tennessee",47033,44419.000000000,"2,703"
"Iron County, Missouri",29093,44437.000000000,"2,702"
"Screven County, Georgia",13251,44438.000000000,"2,701"
"Butler County, Missouri",29023,44440.000000000,"2,700"
"Haywood County, Tennessee",47075,44456.000000000,"2,699"
"McDowell County, North Carolina",37111,44487.000000000,"2,698"
"Golden Valley County, Montana",30037,44500.000000000,"2,697"
"Ogemaw County, Michigan",26129,44501.000000000,"2,696"
"Newton County, Mississippi",28101,44509.000000000,"2,695"
"Johnson County, Georgia",13167,44520.000000000,"2,694"
"Lawrence County, Kentucky",21127,44529.000000000,"2,693"
"Wayne County, Mississippi",28153,44561.000000000,"2,692"
"Claiborne County, Tennessee",47025,44563.000000000,"2,691"
"Levy County, Florida",12075,44586.000000000,"2,690"
"Pulaski County, Illinois",17153,44611.000000000,"2,689"
"Madison County, Arkansas",05087,44643.000000000,"2,688"
"Ferry County, Washington",53019,44688.000000000,"2,686"
"Keweenaw County, Michigan",26083,44688.000000000,"2,686"
"Cumberland County, Tennessee",47035,44717.000000000,"2,685"
"Pickett County, Tennessee",47137,44755.000000000,"2,684"
"Union County, Florida",12125,44767.000000000,"2,683"
"Columbus County, North Carolina",37047,44783.000000000,"2,682"
"Chattahoochee County, Georgia",13053,44787.000000000,"2,681"
"Houston County, Texas",48225,44799.000000000,"2,680"
"Hyde County, North Carolina",37095,44801.000000000,"2,679"
"Panola County, Mississippi",28107,44803.000000000,"2,678"
"Tulare County, California",06107,44814.000000000,"2,677"
"Van Buren County, Arkansas",05141,44829.000000000,"2,676"
"Franklin County, Alabama",01059,44847.000000000,"2,675"
"Worth County, Georgia",13321,44852.000000000,"2,674"
"Thomas County, Georgia",13275,44878.000000000,"2,673"
"Russell County, Alabama",01113,44886.000000000,"2,672"
"Ottawa County, Oklahoma",40115,44906.000000000,"2,671"
"Abbeville County, South Carolina",45001,44918.000000000,"2,670"
"Wirt County, West Virginia",54105,44929.000000000,"2,669"
"Laurens County, South Carolina",45059,44933.000000000,"2,668"
"Greensville County, Virginia",51081,44934.000000000,"2,667"
"Rio Arriba County, New Mexico",35039,44963.000000000,"2,666"
"Dimmit County, Texas",48127,44968.000000000,"2,665"
