DRUG_ID	ic50_pred	COSMIC_ID	LN_IC50
197	-2.724396	924111	-2.71
283	-1.04882166666667	924111	-1.55
1230	-0.0535503333333333	924111	-0.18
1261	-0.003705	924111	-0.09
312	0.496005333333333	924111	0.22
153	0.534785333333333	924111	0.01
166	1.34663466666667	924111	0.95
155	1.54425833333333	924111	1.63
158	1.677205	924111	1
1264	1.732219	924111	1.52
202	2.04553966666666	924111	1.8
1091	2.25285366666667	924111	1.83
282	2.358992	924111	1.82
277	2.416317	924111	2.2
1262	2.44129766666667	924111	2.17
1066	2.44313466666666	924111	2.3
1268	2.46571366666666	924111	2.15
223	2.469153	924111	2.14
254	2.52065533333333	924111	2.17
171	2.554509	924111	2.61
150	2.5771	924111	2.32
175	2.76808866666666	924111	2.51
156	2.94050133333333	924111	2.79
1175	2.979758	924111	2.64
1170	3.02204466666668	924111	2.38
1495	3.03823400000001	924111	2.44
185	3.07703766666667	924111	3.07
1199	3.19588433333334	924111	2.65
310	3.23267233333334	924111	2.95
222	3.23436833333334	924111	2.45
154	3.29209966666667	924111	3.18
1072	3.42544033333334	924111	3.35
262	3.44690166666667	924111	3.26
249	3.49066133333334	924111	3.4
330	3.50917133333333	924111	2.57
199	3.534505	924111	2.94
1371	3.64408033333334	924111	3.14
300	3.66914066666668	924111	2.88
152	3.68478366666666	924111	3.31
1241	3.70797866666668	924111	3.19
1373	3.72298499999999	924111	3.33
306	3.76977833333333	924111	3.55
271	3.8771	924111	3.58
1129	3.87731066666667	924111	3.51
1069	3.894902	924111	3.74
1067	3.919385	924111	3.84
228	3.95870533333333	924111	3.8
257	4.014196	924111	3.71
281	4.01609899999999	924111	3.81
260	4.04111133333333	924111	3.79
186	4.04145233333334	924111	4.14
305	4.09582866666667	924111	3.54
1502	4.09953733333334	924111	3.45
206	4.13761	924111	3.83
192	4.14543066666666	924111	3.58
269	4.16138100000001	924111	3.14
178	4.178426	924111	4.07
288	4.231769	924111	3.93
261	4.32306233333333	924111	4.06
224	4.32713366666667	924111	4.21
229	4.35619866666666	924111	3.5
255	4.411296	924111	4.46
295	4.43706499999999	924111	4.31
1236	4.43955066666667	924111	3.82
287	4.448751	924111	4.47
179	4.46864033333334	924111	3.71
329	4.499297	924111	4.27
1194	4.53244633333334	924111	4.48
258	4.53901566666666	924111	4.29
294	4.56874199999999	924111	4.11
151	4.587215	924111	4.43
298	4.608731	924111	4.25
291	4.638829	924111	4.46
293	4.64244033333333	924111	4.57
211	4.64333366666667	924111	4.52
333	4.64818666666667	924111	4.39
326	4.66743466666666	924111	4.54
221	4.679444	924111	4.22
238	4.697112	924111	4.41
177	4.70483433333333	924111	4.33
286	4.70603433333333	924111	4.58
253	4.76854233333332	924111	4.62
205	4.798004	924111	4.53
332	4.81904233333333	924111	4.54
309	4.84641166666667	924111	4.42
279	4.90060733333333	924111	4.75
265	5.01558400000001	924111	4.71
292	5.03812966666666	924111	5
304	5.06744599999999	924111	4.87
263	5.09219133333333	924111	4.65
290	5.10852966666667	924111	4.86
345	5.11332099999999	924111	4.85
275	5.11976666666667	924111	4.98
231	5.12021066666667	924111	5.09
147	5.28404933333333	924111	5.06
230	5.28442333333334	924111	5.07
193	5.29087933333333	924111	5.05
1375	5.29573566666668	924111	4.69
266	5.47610733333333	924111	5.2
341	5.49787033333334	924111	5.21
176	5.571137	924111	5.71
1114	5.65515733333334	924111	5.36
