DRUG_ID	ic50_pred	COSMIC_ID	LN_IC50
104	-3.51000233333333	906842	-3.68
197	-3.49241233333334	906842	-3.89
153	0.0327993333333334	906842	-0.11
1060	0.624706333333333	906842	0.88
1032	1.21517366666667	906842	1.36
1026	1.56415166666667	906842	1.9
9	1.74416133333333	906842	2.25
37	1.814958	906842	1.7
1021	1.87049366666667	906842	1.86
35	1.88842966666667	906842	1.51
166	1.91451966666667	906842	1.99
88	2.07083566666667	906842	1.83
1	2.074888	906842	1.71
1049	2.07532566666667	906842	1.97
158	2.098188	906842	2
119	2.174832	906842	1.74
202	2.223508	906842	2.3
150	2.28399633333333	906842	2.3
52	2.427519	906842	2.61
1038	2.47797566666666	906842	2.92
171	2.49356333333334	906842	2.69
1028	2.54895166666667	906842	2.86
1013	2.68035833333333	906842	3.1
34	2.748739	906842	2.74
185	2.786	906842	3.26
1029	2.81110666666666	906842	2.79
1062	2.88051066666666	906842	2.81
1023	2.90591366666666	906842	3.11
1061	3.04304366666667	906842	2.89
154	3.069832	906842	3.36
1036	3.09645833333334	906842	2.91
91	3.098563	906842	2.48
1018	3.38401666666666	906842	3.32
89	3.39668566666666	906842	3.87
199	3.42853733333333	906842	3.56
1039	3.46599333333333	906842	3.02
110	3.53020666666666	906842	3.55
186	3.53928533333333	906842	3.79
1020	3.607731	906842	3.63
94	3.67667666666666	906842	3.78
1014	3.67794699999999	906842	4.02
1025	3.67825833333334	906842	3.38
1052	3.690902	906842	3.97
59	3.71433633333333	906842	3.85
71	3.87591966666666	906842	3.59
1033	4.00957233333334	906842	4.18
1030	4.04247833333334	906842	4.19
1043	4.25433800000001	906842	4.19
1042	4.39417333333334	906842	4.63
192	4.512646	906842	4.68
147	4.71979666666667	906842	5
