DRUG_ID	ic50_pred	COSMIC_ID	LN_IC50
197	-2.498309	753622	-2.36
1057	-0.875383666666666	753622	-1.13
1060	-0.0443500000000001	753622	-0.05
1230	-0.000229999999999993	753622	-0.21
1261	0.0170163333333333	753622	0.02
153	0.423541666666665	753622	-0.11
312	0.493829999999999	753622	0.39
1529	0.765385666666665	753622	0.28
155	0.795606	753622	0.48
166	1.602504	753622	1.23
1059	1.71579066666667	753622	1.81
202	1.82031066666667	753622	1.41
171	1.82902366666666	753622	1.55
1264	1.84812033333334	753622	1.72
158	1.84898433333334	753622	1.19
119	1.85588233333333	753622	1.04
1046	1.90511233333333	753622	1.64
282	1.938003	753622	1.36
52	1.97860266666666	753622	1.18
1	2.03945566666667	753622	1.24
1054	2.06242366666667	753622	1.74
328	2.22012933333334	753622	1.94
1038	2.25280366666666	753622	2.12
273	2.28573866666667	753622	1.91
1218	2.34714333333333	753622	2.28
127	2.36381366666667	753622	1.99
277	2.43286433333334	753622	2.24
346	2.439598	753622	2.34
1037	2.45895866666667	753622	2.24
37	2.46143866666667	753622	1.97
310	2.48070933333333	753622	2.1
1066	2.48950599999999	753622	2.06
1091	2.491523	753622	2.1
226	2.52018233333333	753622	1.91
1058	2.52242066666667	753622	2.51
1262	2.55303233333333	753622	2.42
1062	2.60088733333334	753622	2.14
254	2.61724033333333	753622	2.54
1050	2.65040566666667	753622	2.23
150	2.67524733333333	753622	2.54
1011	2.791361	753622	3.21
6	2.826106	753622	2.43
1175	2.826654	753622	2.35
1053	2.89777866666667	753622	3
249	2.98286833333334	753622	2.58
1133	2.98463300000001	753622	2.69
175	3.052069	753622	2.98
1029	3.09562	753622	3.21
63	3.099458	753622	2.53
1049	3.10840733333334	753622	3.2
34	3.11709066666666	753622	3.01
29	3.14599466666667	753622	3.19
1268	3.17167866666667	753622	2.9
1170	3.18757666666666	753622	2.82
301	3.284317	753622	2.87
1199	3.28481533333334	753622	2.93
154	3.32828666666667	753622	3.19
262	3.33506633333333	753622	3.11
228	3.39188666666667	753622	2.9
222	3.429307	753622	2.99
89	3.44039233333334	753622	3.15
1143	3.474314	753622	3.04
1203	3.55604466666667	753622	2.91
111	3.58344133333333	753622	3.03
330	3.587237	753622	3.09
186	3.60987466666667	753622	3.41
1158	3.62577366666666	753622	3.04
1129	3.65991733333333	753622	3.32
260	3.74075933333333	753622	3.43
288	3.78063566666666	753622	3.07
1052	3.79256166666667	753622	4
261	3.79955366666667	753622	3.57
1072	3.80673266666666	753622	4.12
224	3.83622333333333	753622	3.28
272	3.86266633333333	753622	3.62
59	3.87322333333334	753622	3.44
1061	3.89799566666666	753622	4.12
281	3.93694599999999	753622	3.86
110	3.93944966666667	753622	3.49
94	3.95633266666667	753622	3.74
206	3.981404	753622	3.78
271	4.02313933333333	753622	3.87
298	4.07776933333332	753622	3.6
1067	4.07981966666666	753622	4.29
305	4.11634133333334	753622	3.89
91	4.11729166666666	753622	4.02
1373	4.123917	753622	4.01
294	4.15779366666667	753622	3.65
1194	4.180293	753622	3.82
71	4.184454	753622	3.79
1495	4.20757866666667	753622	4.51
1241	4.23077366666667	753622	4.39
292	4.25198700000001	753622	3.67
257	4.296206	753622	4.3
221	4.31019666666667	753622	3.95
1039	4.31247866666667	753622	4.22
199	4.31941366666666	753622	4.6
1069	4.32370866666667	753622	4.73
1047	4.335912	753622	4.34
286	4.34294933333333	753622	4.02
255	4.365017	753622	4.52
329	4.371446	753622	4.18
1030	4.39915733333333	753622	4.47
1502	4.45550033333333	753622	4.41
303	4.46679566666667	753622	4.24
295	4.481896	753622	4.66
1042	4.54485466666667	753622	4.82
1043	4.57000666666666	753622	4.82
211	4.58785433333334	753622	4.4
258	4.606262	753622	4.5
326	4.621221	753622	4.74
205	4.63539733333334	753622	4.44
345	4.66630433333333	753622	4.25
1371	4.669993	753622	4.72
279	4.72948333333334	753622	4.67
333	4.741184	753622	4.7
1036	4.74397233333333	753622	4.82
293	4.74864666666667	753622	5.03
275	4.809289	753622	4.71
245	4.841688	753622	4.47
238	4.85037733333334	753622	4.67
253	4.88478	753622	4.84
332	4.938145	753622	4.84
192	4.94394433333332	753622	5.02
263	4.98510333333334	753622	4.73
290	4.99606933333333	753622	4.7
309	5.00742366666667	753622	5.05
344	5.01503466666667	753622	4.69
304	5.02196633333334	753622	4.98
269	5.02862433333333	753622	4.83
276	5.14801333333333	753622	4.95
265	5.20517066666667	753622	5.3
17	5.22067366666666	753622	5.22
230	5.241021	753622	5.07
231	5.28798833333333	753622	5.22
147	5.330059	753622	5.24
193	5.41285833333333	753622	5.34
341	5.42341700000001	753622	5.19
274	5.51791633333333	753622	5.45
1114	5.52451233333333	753622	5.22
266	5.61407233333334	753622	5.51
1375	5.825345	753622	5.82
